Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-08-18,RELIANCE,EQ,950.7,956.0,956.0,942.2,945.05,944.1,946.32,1515583,143422506200000.0,47655,633420,0.4179
2015-08-19,RELIANCE,EQ,944.1,944.0,961.0,939.45,953.0,954.6,952.7,2029201,193321760200000.0,50536,988974,0.48740000000000006
2015-08-20,RELIANCE,EQ,954.6,959.95,959.95,913.75,915.65,916.3,929.53,4344929,403876004390000.0,120814,2721925,0.6265
2015-08-21,RELIANCE,EQ,916.3,910.0,911.9,897.0,905.55,907.95,905.24,4583212,414889427665000.0,127465,2978232,0.6498
2015-08-24,RELIANCE,EQ,907.95,880.0,880.0,818.0,821.75,829.55,855.47,8145723,696838332625000.0,180439,4629722,0.5684
2015-08-25,RELIANCE,EQ,829.55,840.85,860.65,823.2,858.3,848.15,841.72,11315843,952476844875000.0,168596,7999100,0.7069
2015-08-26,RELIANCE,EQ,848.15,847.8,874.8,840.0,851.8,853.4,860.44,4332912,372821746840000.0,116846,2295155,0.5297
2015-08-27,RELIANCE,EQ,853.4,866.8,881.25,857.05,868.5,869.15,870.09,6171185,536951538325000.0,134104,3943292,0.639
2015-08-28,RELIANCE,EQ,869.15,875.0,883.0,866.1,871.1,872.4,874.99,2461890,215413782035000.0,60204,989992,0.4021
2015-08-31,RELIANCE,EQ,872.4,872.85,872.85,853.8,857.65,855.9,860.15,4733716,407168567395000.0,80933,3366317,0.7111
2015-09-01,RELIANCE,EQ,855.9,853.9,853.9,835.1,838.15,839.85,842.26,4947842,416736857315000.0,95197,3217918,0.6504000000000001
2015-09-02,RELIANCE,EQ,839.85,850.0,857.1,842.6,853.0,849.55,850.31,4492201,381976280085000.0,103193,2882270,0.6416
2015-09-03,RELIANCE,EQ,849.55,854.05,860.75,844.4,855.05,853.85,852.42,2665275,227193032660000.0,71594,1379765,0.5177
2015-09-04,RELIANCE,EQ,853.85,849.7,849.7,825.1,835.05,835.9,835.59,3703036,309423381680000.0,76332,2203836,0.5951
